[21:34:53]	INFO    | Creating GLFW Window
[21:34:53]	-------	|
[21:34:54]	INFO    | Creating ResourcesManager
[21:34:54]	-------	|
[21:34:54]	SUCCESS | FreeType -> loaded font : "Resource/Fonts/abnes.ttf"
[21:34:54]	-------	|
[21:34:54]	SUCCESS | FreeType -> loaded font : "Resource/Fonts/arial.ttf"
[21:34:54]	-------	|
[21:34:54]	SUCCESS | > Loaded texture "Assets/none.png"
[21:34:54]	-------	|
[21:34:54]	SUCCESS | > Opened file "Resource/Shader/Text.shad"
[21:34:54]	-------	|
[21:34:54]	INFO    | + Loading Shaders "Resource/Shader/Text.shad"
[21:34:54]	-------	|
[21:34:54]	SUCCESS | Vertex Shader ->	Successfully compiled
[21:34:54]	-------	|
[21:34:54]	SUCCESS | Fragment Shader ->	Successfully compiled
[21:34:54]	-------	|
[21:34:54]	SUCCESS | Shader program ->	Successfully linked
[21:34:54]	-------	|
[21:34:54]	SUCCESS | > Opened file "Resource/Shader/PostProcess.shad"
[21:34:54]	-------	|
[21:34:54]	INFO    | + Loading Shaders "Resource/Shader/PostProcess.shad"
[21:34:54]	-------	|
[21:34:54]	SUCCESS | Vertex Shader ->	Successfully compiled
[21:34:54]	-------	|
[21:34:54]	SUCCESS | Fragment Shader ->	Successfully compiled
[21:34:54]	-------	|
[21:34:54]	SUCCESS | Shader program ->	Successfully linked
[21:34:54]	-------	|
[21:34:54]	SUCCESS | > Opened file "Resource/Shader/GaussianBlur.shad"
[21:34:54]	-------	|
[21:34:54]	INFO    | + Loading Shaders "Resource/Shader/GaussianBlur.shad"
[21:34:54]	-------	|
[21:34:54]	SUCCESS | Vertex Shader ->	Successfully compiled
[21:34:54]	-------	|
[21:34:54]	SUCCESS | Fragment Shader ->	Successfully compiled
[21:34:54]	-------	|
[21:34:54]	SUCCESS | Shader program ->	Successfully linked
[21:34:54]	-------	|
[21:34:54]	SUCCESS | > Opened file "Assets/defaultCubeMap.cubemap"
[21:34:54]	-------	|
[21:34:54]	SUCCESS | > Opened file "Resource/Shader/CubeMap.shad"
[21:34:54]	-------	|
[21:34:54]	INFO    | + Loading Shaders "Resource/Shader/CubeMap.shad"
[21:34:54]	-------	|
[21:34:54]	SUCCESS | Vertex Shader ->	Successfully compiled
[21:34:54]	-------	|
[21:34:54]	SUCCESS | Fragment Shader ->	Successfully compiled
[21:34:54]	-------	|
[21:34:54]	SUCCESS | Shader program ->	Successfully linked
[21:34:54]	-------	|
[21:34:54]	SUCCESS | > Opened file "Resource/Shader/Sprite.shad"
[21:34:54]	-------	|
[21:34:54]	INFO    | + Loading Shaders "Resource/Shader/Sprite.shad"
[21:34:54]	-------	|
[21:34:54]	SUCCESS | Vertex Shader ->	Successfully compiled
[21:34:54]	-------	|
[21:34:54]	SUCCESS | Fragment Shader ->	Successfully compiled
[21:34:54]	-------	|
[21:34:54]	SUCCESS | Shader program ->	Successfully linked
[21:34:54]	-------	|
[21:34:54]	INFO    |  Starting to load scene : "Assets/MainMenu.scn"
[21:34:54]	-------	|
[21:34:54]	INFO    | + Loading Game Object "Button_01"
[21:34:54]	-------	|
[21:34:54]	INFO    | + Loading Game Object "Button_02"
[21:34:54]	-------	|
[21:34:54]	INFO    | + Loading Game Object "Button_03"
[21:34:54]	-------	|
[21:34:54]	INFO    | + Loading Game Object "Button_04"
[21:34:54]	-------	|
[21:34:54]	SUCCESS | > Successfully loaded a new scene
[21:34:54]	-------	|
[21:34:54]	SUCCESS | > Loaded texture "Assets/Loading.png"
[21:34:54]	-------	|
[21:34:54]	SUCCESS | > Loaded texture "Assets/ButtonPlay.png"
[21:34:54]	-------	|
[21:34:54]	SUCCESS | > Loaded texture "Assets/ButtonEdit.png"
[21:34:54]	-------	|
[21:34:54]	SUCCESS | > Loaded texture "Assets/ButtonLoad.png"
[21:34:54]	-------	|
[21:34:54]	SUCCESS | > Loaded one face of cubemap texture "Assets/Textures/SpaceCubeMap/right.png"
[21:34:54]	-------	|
[21:34:55]	SUCCESS | > Loaded texture "Assets/ButtonQuit.png"
[21:34:55]	-------	|
[21:34:55]	SUCCESS | > Loaded one face of cubemap texture "Assets/Textures/SpaceCubeMap/left.png"
[21:34:55]	-------	|
[21:34:55]	SUCCESS | > Loaded one face of cubemap texture "Assets/Textures/SpaceCubeMap/bottom.png"
[21:34:55]	-------	|
[21:34:55]	SUCCESS | > Loaded one face of cubemap texture "Assets/Textures/SpaceCubeMap/top.png"
[21:34:55]	-------	|
[21:34:55]	SUCCESS | > Loaded one face of cubemap texture "Assets/Textures/SpaceCubeMap/front.png"
[21:34:55]	-------	|
[21:34:55]	SUCCESS | > Loaded one face of cubemap texture "Assets/Textures/SpaceCubeMap/back.png"
[21:34:55]	-------	|
[21:34:55]	SUCCESS | > Loaded Cubemap "defaultCubeMap"
[21:34:55]	-------	|
[21:34:57]	INFO    |  Starting to load scene : "Assets/NewGame.scn"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Game Object "DirtBlock"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | > Opened file "Resource/Shader/Default.shad"
[21:34:57]	-------	|
[21:34:57]	INFO    | + Loading Shaders "Resource/Shader/Default.shad"
[21:34:57]	-------	|
[21:34:57]	SUCCESS | Vertex Shader ->	Successfully compiled
[21:34:57]	-------	|
[21:34:57]	SUCCESS | Fragment Shader ->	Successfully compiled
[21:34:57]	-------	|
[21:34:57]	SUCCESS | Shader program ->	Successfully linked
[21:34:57]	-------	|
