[21:34:54]	INFO    | Thread count : 4
[21:34:54]	-------	|
[21:34:54]	INFO    |  The queue is not empty for now
[21:34:54]	-------	|
[21:34:54]	INFO    |  There is no functon in the queue anymore
[21:34:54]	-------	|
[21:34:54]	INFO    |  The queue is not empty for now
[21:34:54]	-------	|
[21:34:54]	INFO    |  There is no functon in the queue anymore
[21:34:54]	-------	|
[21:34:54]	INFO    |  The queue is not empty for now
[21:34:54]	-------	|
[21:34:54]	INFO    |  There is no functon in the queue anymore
[21:34:54]	-------	|
[21:34:54]	INFO    |  The queue is not empty for now
[21:34:54]	-------	|
[21:34:54]	INFO    |  There is no functon in the queue anymore
[21:34:54]	-------	|
[21:34:55]	INFO    |  There is no thread working anymore
[21:34:55]	-------	|
[21:34:55]	INFO    |  The scene successfully loaded (2.72 sec)
[21:34:55]	-------	|
[21:34:57]	INFO    |  The queue is not empty for now
[21:34:57]	-------	|
[21:34:57]	INFO    |  There is no functon in the queue anymore
[21:34:57]	-------	|
[21:34:57]	INFO    |  The queue is not empty for now
[21:34:57]	-------	|
[21:34:57]	INFO    |  The queue is not empty for now
[21:34:57]	-------	|
[21:34:57]	INFO    |  The queue is not empty for now
[21:34:57]	-------	|
[21:34:57]	INFO    |  The queue is not empty for now
[21:34:57]	-------	|
[21:35:01]	INFO    |  There is no functon in the queue anymore
[21:35:01]	-------	|
[21:35:06]	INFO    |  There is no thread working anymore
[21:35:06]	-------	|
[21:35:06]	INFO    |  The scene successfully loaded (9.33 sec)
[21:35:06]	-------	|
